# Consolidated INTERNAL redirects (replaces per-page #REDIRECT stub files).
# Format: <source page title><TAB><target page title>. One redirect per line.
# Lines starting with '#' and blank lines are ignored. Sorted by source.
# Editable by content maintainers; the static generator reads this at build.
2FA	Moved:Two-factor_authentication_2FA
AEM	Moved:AEM
Access Host from VM	Access_Local_Network_or_Host_or_Clearnet_Internet_from_VM
Access Local Network or Host from VM	Access Local Network or Host or Clearnet Internet from VM
Account and Mobile Security	Moved:Mobile_Phone_Security
Advanced Attacks	Advanced Deanonymization Attacks
Advanced Host Security	Moved:Advanced_Host_Security
Advertisements	Transparency
Air Gapped OpenPGP Key	Moved:Air_Gapped_OpenPGP_Key
Anondate	Moved:Anondate
Anonymity Network	Dev/Anonymity Network
Anti-Forensics Precautions	Moved:Anti-Forensics_Precautions
AppArmor	Moved:AppArmor
AppArmor/HexChat	Moved:AppArmor
AppArmor/Icedove	Moved:AppArmor
AppArmor/Pidgin	Moved:AppArmor
AppArmor/Timesync	Moved:AppArmor
AppArmor/Tor Browser Bundle	Moved:AppArmor
AppArmor/VirtualBox	Moved:AppArmor
AppArmor/Whonixcheck	Moved:AppArmor
AppArmor/XChat	Moved:AppArmor
AppArmor/sdwdate	Moved:AppArmor
Apparmor-profile-everything	Moved:Apparmor-profile-everything
Apt-file	Moved:apt-file
Arm	Tor Controller#Arm
Authorship	Credits
Avoid nonfree software	Moved:Avoid nonfreedom software
Avoid nonfreedom software	Moved:Avoid_nonfreedom_software
Bank Wire	Donate/Bank Wire
Basic Host Security	Essential Host Security
Basic Security Guide Introduction	Moved:Computer_Security_Introduction
Boot Clock Randomization	Moved:Boot_Clock_Randomization
BrowserPlugins	Browser_Plugins
Build Anonymity	Dev/Build Anonymity
Build Version	Moved:Systemcheck#Build_Version
Building Whonix-UI for Windows	Dev/Windows_Starter
Building the Whonix-Installer for Windows	Dev/Windows Installer
CVE-2016-1252	Moved:Update
ChangelogNEXT	Changelog
Chat Rules	Policy of Website and Chat
Chroot	Moved:Installation of Debian based Linux distributions in a folder chroot
Codecrypt	Moved:PQCrypto
Cold Boot Attack Defense	Moved:Cold_Boot_Attack_Defense
Command-not-found	Moved:Command-not-found
Comparison Of Tor Proxies CGI proxies Proxy Chains And VPN Services	Whonix versus Proxies
Comparison Of Tor with CGI Proxies, Proxy Chains, and VPN Services	Whonix versus Proxies
